PREGUNTA,A,B,C,D,E,F,RESPUESTA_CORRECTA
"Which Snowflake data type is used to store JSON key value pairs?","A. TEXT","B. BINARY","C. STRING","D. VARIANT","","","D"
"How are network policies defined in Snowflake?","A. They are a set of rules that define the network routes within Snowflake.","B. They are a set of rules that dictate how Snowflake accounts can be used between multiple users.","C. They are a set of rules that define how data can be transferred between different Snowflake accounts within an organization.","D. They are a set of rules that control access to Snowflake accounts by specifying the IP addresses or ranges of IP addresses that are allowed to connect to Snowflake.","","","D"
"What is the only supported character set for loading and unloading data from all supported file formats?","A. UTF-8","B. UTF-16","C. ISO-8859-1","D. WINDOWS-1253","","","A"
"Which function is used to convert rows in a relational table to a single VARIANT column?","A. ARRAY_AGG","B. OBJECT_AGG","C. ARRAY_CONSTRUCT","D. OBJECT_CONSTRUCT","","","D"
"Which command can be used to delete staged files from a Snowflake stage when the files are no longer needed?","A. DELETE","B. DROP","C. REMOVE","D. TRUNCATE TABLE","","","C"
"A virtual warehouse initially suffers from poor performance as a result of queries from multiple concurrent processes that are queuing. Over time, the problem resolved.What action can be taken to prevent this from happening again?","A. Increase the size of the virtual warehouse.","B. Add a cluster key to the most used JOIN key.","C. Change the multi-cluster settings to add additional clusters.","D. Enable the search optimization service for the underlying tables.","","","C"
"What action can be performed using the GET command in Snowflake?","A. Automatically rename downloaded files.","B. Automatically decrypt downloaded data on a client machine.","C. Download data files from Snowflake internal stages to a local directory/folder.","D. Download data files from Snowflake external stages to a local directory/folder.","","","C"
"Which validation option is the only one that supports the COPY INTO  command?","A. RETURN_ROWS","B. RETURN_ _ROWS","C. RETURN_ERRORS","D. RETURN_ALL_ERRORS","","","A"
"What are the correct settings for column and element names, regardless of which notation is used while accessing elements in a JSON object?","A. Both the column name and the element name are case-insensitive.","B. Both the column name and the element name are case-sensitive.","C. The column name is case-sensitive and the element names are case-insensitive.","D. The column name is case-insensitive and the element name is case-sensitive.  ","","","D"
"How can the Query Profile be used to identify the costliest operator of a query?","A. Select any node in the operator tree and look at the number of micro-partitions scanned.","B. Find the operator node with the highest fraction of time or percentage of total time.","C. Select the TableScan operator node and look at the percentage scanned from cache.","D. Look at the number of rows between operator nodes across the operator tree.","","","B"
"In order to access Snowflake Marketplace listings, who needs to accept the Snowflake Consumer Terms of Service?","A. SYSADMIN","B. SECURITYADMIN","C. ACCOUNTADMIN","D. ORGADMIN","","","D"
"Which statistics are displayed in a Query Profile that indicate that intermediate results do not fit in memory? (Choose two.)","A. Bytes scanned","B. Partitions scanned","C. Bytes spilled to local storage","D. Bytes spilled to remote storage","E. Percentage scanned from cache","","C,D"
"How can a dropped internal stage be restored?","A. Enable Time Travel.","B. Clone the dropped stage.","C. Execute the UNDROP command.","D. Recreate the dropped stage.","","","D"
"Which command line flags can be used to log into a Snowflake account using SnowSQL? (Choose two.)","A. -d  ","B. -o","C. -e","D. -a  ","E. -c","","A,D"
"What is a key benefit of using organizations in Snowflake?","A. Ability to use ACCOUNT_USAGE views","B. Ability to use zero-copy cloning across accounts","C. Ability to consolidate account management and billing","D. Ability to access new releases for testing and validation purposes","","","C"
"Which privilege is required on a virtual warehouse to abort any existing executing queries?","A. USAGE","B. OPERATE","C. MODIFY","D. MONITOR","","","B"
"Which command should be used to look into the validity of an XML object in Snowflake?","A. XMLGET","B. TO_XML","C. PARSE_XML","D. CHECK_XML","","","D"
"Who can activate a network policy for users in a Snowflake account? (Choose two.)","A. ACCOUNTADMIN","B. USERADMIN","C. PUBLIC","D. SYSADMIN","E. Any role that has the global ATTACH POLICY privilege","","A,E"
"For which use cases is running a virtual warehouse required? (Choose two.)","A. When creating a table","B. When loading data into a table","C. When unloading data from a table","D. When executing a SHOW command","E. When executing a LIST command","","B,C"
"What action should be taken if a Snowflake user wants to share a newly created object in a database with consumers?","A. Use the automatic sharing feature for seamless access.","B. Drop the object and then re-add it to the database to trigger sharing.","C. Recreate the object with a different name in the database before sharing.","D. Use the GRANT privilege ... TO SHARE command to grant the necessary privileges.","","","D"
"Which Snowflake privilege is required on a pipe object to pause or resume pipes?","A. OPERATE","B. READ","C. SELECT","D. USAGE","","","A"
"Which commands can a Snowflake user execute to specify a cluster key for a table? (Choose two.)","A. CREATE  ","B. UPDATE","C. ALTER  ","D. SET","E. SHOW","","A,C"
"Authorization to execute CREATE [object] statements comes only from which role?","A. Primary role","B. Secondary role","C. Application role","D. Database role","","","A"
"Which VALIDATION_MODE value will return the errors across the files specified in a COPY command, including files that were partially loaded during an earlier load?","A. RETURN_-1_ROWS","B. RETURN_n_ROWS","C. RETURN_ERRORS","D. RETURN_ALL_ERRORS","","","D"
"Which command is used to upload data files from a local directory or folder on a client machine to an internal stage, for a specified table?","A. GET","B. PUT","C. CREATE STREAM","D. COPY INTO","","","B"
"Which governance feature is supported by all Snowflake editions?","A. Object tags","B. Masking policies","C. Row access policies","D. OBJECT_DEPENDENCIES view","","","D"
"Which chart type is supported in Snowsight for Snowflake users to visualize data with dashboards?","A. Area chart","B. Box plot","C. Heat grid","D. Pie chart","","","C"
"At what level is the MIN_DATA_RETENTION_TIME_IN_DAYS parameter set?","A. Account","B. Database","C. Schema","D. Table","","","A"
"Which function returns an integer between 0 and 100 when used to calculate the similarity of two strings?","A. APPROXIMATE_SIMILARITY","B. JAROWINKLER_SIMILARITY","C. APPROXIMATE_JACCARD_INDEX","D. MINHASH_COMBINE","","","B"
"Which Snowflake data governance feature can support auditing when a user query reads column data?","A. Access History","B. Data classification","C. Column-level security","D. Object dependencies","","","A"
"Which categories are included in the execution time summary in a Query Profile? (Choose two.)","A. Pruning","B. Spilling","C. Initialization  ","D. Local Disk I/O  ","E. Percentage of data read from cache","","C,D"
"Which command can be used to list all network policies available in an account?","A. DESCRIBE SESSION POLICY","B. DESCRIBE NETWORK POLICY","C. SHOW SESSION POLICIES","D. SHOW NETWORK POLICIES","","","D"
"Which type of loop requires a BREAK statement to stop executing?","A. FOR","B. LOOP","C. REPEAT","D. WHILE","","","B"
"Which virtual warehouse consideration can help lower compute resource credit consumption?","A. Setting up a multi-cluster virtual warehouse","B. Resizing the virtual warehouse to a larger size","C. Automating the virtual warehouse suspension and resumption settings","D. Increasing the maximum cluster count parameter for a multi-cluster virtual warehouse","","","C"
"To use the OVERWRITE option on INSERT, which privilege must be granted to the role?","A. TRUNCATE","B. DELETE","C. UPDATE","D. SELECT","","","A"
"What happens when a suspended virtual warehouse is resized in Snowflake?","A. It will return an error.","B. It will return a warning.","C. The suspended warehouse is resumed and new compute resources are provisioned immediately.","D. The additional compute resources are provisioned when the warehouse is resumed.","","","D"
"How does Snowflake handle the data retention period for a table if a stream has not been consumed?","A. The data retention period s reduced to a minimum of 14 days.","B. The data retention period is permanently extended for the table.","C. The data retention period is temporarily extended to the stream’s offset.","D. The data retention period is not affected by the stream consumption.","","","C"
"Which task is supported by the use of Access History in Snowflake?","A. Data backups","B. Cost monitoring","C. Compliance auditing","D. Performance optimization","","","C"
"Which feature of Snowflake’s Continuous Data Protection (CDP) has associated costs?","A. Fail-safe","B. Network policies","C. End-to-end encryption","D. Multi-Factor Authentication (MFA)","","","A"
"When enabling access to unstructured data, which URL permits temporary access to a staged file without the need to grant privileges to the stage or to issue access tokens?","A. File URL","B. Scoped URL","C. Relative URL","D. Pre-Signed URL","","","B"
"Which Snowflake function is maintained separately from the data and helps to support features such as Time Travel, Secure Data Sharing, and pruning?","A. Column compression","B. Data clustering","C. Micro-partitioning","D. Metadata management","","","D"
"A tag object has been assigned to a table (TABLE_A) in a schema within a Snowflake database.Which CREATE object statement will automatically assign the TABLE_A tag to a target object?","A. CREATE TABLE LIKE TABLE_A;","B. CREATE VIEW AS SELECT * FROM TABLE_A;","C. CREATE TABLE AS SELECT * FROM TABLE_A;","D. CREATE MATERIALIZED VIEW AS SELECT * FROM TABLE_A;","","","A"
"In addition to performing all the standard steps to share data, which privilege must be granted on each database referenced by a secure view in order to be shared?","A. READ","B. REFERENCES","C. REFERENCE_USAGE","D. USAGE","","","C"
"Which function can be used with the COPY INTO  statement to convert rows from a relational table to a single VARIANT column, and to unload rows into a JSON file?","A. FLATTEN","B. OBJECT_AS","C. OBJECT_CONSTRUCT","D. TO_VARIANT","","","C"
"Which type of role can be granted to a share?","A. Account role","B. Custom role","C. Database role  ","D. Secondary role","","","C"
"When unloading data with the COPY INTO  command, what is the purpose of the PARTITION BY  parameter option?","A. To sort the contents of the output file by the specified expression.","B. To delimit the records in the output file using the specified expression.","C. To include a new column in the output using the specified window function expression.","D. To split the output into multiple files, one for each distinct value of the specified expression.","","","D"
"What are potential impacts of storing non-native values like dates and timestamps in a VARIANT column in Snowflake?","A. Faster query performance and increased storage consumption","B. Slower query performance and increased storage consumption","C. Faster query performance and decreased storage consumption","D. Slower query performance and decreased storage consumption","","","B"
"Which views are included in the DATA_SHARING_USAGE schema? (Choose two.)","A. ACCESS_HISTORY","B. DATA_TRANSFER_HISTORY","C. WAREHOUSE_METERING_HISTORY","D. MONETIZED_USAGE_DAILY","E. LISTING_TELEMETRY_DAILY","","D,E"
"What does a table with a clustering depth of 1 mean in Snowflake?","A. The table has only 1 micro-partition.","B. The table has 1 overlapping micro-partition.","C. The table has no overlapping micro-partitions.  ","D. The table has no micro-partitions.","","","C"
"Which Snowflake object contains all the information required to share a database?","A. Private listing","B. Secure view","C. Sequence","D. Share","","","D"
"What is the PRIMARY factor that determines the cost of using a virtual warehouse in Snowflake?","A. The type of SQL statements executed","B. The number of tables or databases queried","C. The amount of data stored in the warehouse","D. The length of time the compute resources in each cluster run","","","D"
"Which function generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs, with a file URL that does not expire?","A. BUILD_SCOPED_FILE_URL","B. BUILD_STAGE_FILE_URL","C. GET_ABSOLUTE_PATH","D. GET_PRESIGNED_URL","","","B"
"When a Snowflake user loads CSV data from a stage, which COPY INTO [table] command guideline should they follow?","A. The CSV field delimiter must be a comma character (‘,’).","B. The number of columns in each row should be consistent.  ","C. The data file in the stage must be in a compressed format.","D. The data file must have the same number of columns as the target table.","","","B"
"A user creates a stage using the following command:CREATE STAGE mystage -DIRECTORY = (ENABLE = TRUE)FILE_FORMAT = myformat;What will be the outcome?","A. A stage with a directory table set to automatically refresh will be created.","B. A stage with a directory table that has metadata that must be manually refreshed will be created.","C. An error will be received stating that the storage location for the stage must be identified when creating a stage with a directory table.","D. The command will fail to run because the name of the directory table is not specified.","","","B"
"Which statistics on a Query Profile reflect the efficiency of the query pruning? (Choose two.)","A. Partitions scanned","B. Partitions total","C. Bytes scanned","D. Bytes spilled","E. Bytes written","","A,B"
"Which operation can be performed on Snowflake external tables?","A. INSERT","B. JOIN","C. RENAME","D. ALTER  ","","","D"
"A user wants to access files stored in a stage without authenticating into Snowflake.Which type of URL should be used?","A. File URL","B. Staged URL","C. Scoped URL","D. Pre-signed URL","","","D"
"Which table function is used to view all errors encountered during a previous data load?","A. VALIDATE","B. INFER_SCHEMA","C. GENERATOR","D. QUERY_HISTORY","","","A"
"What is the MINIMUM size requirement when creating a Snowpark-optimized virtual warehouse?","A. X-Small","B. Small","C. Medium","D. Large","","","C"
"Which role has the ability to create and manage users and roles?","A. ORGADMIN","B. USERADMIN","C. SYSADMIN","D. SECURITYADMIN","","","B"
"What issues can be identified and troubleshooted using the Query Profile? (Choose two.)","A. Full index scans","B. Cartesian products","C. Insufficient privileges","D. Queries too large to fit in memory","E. Virtual warehouse credit consumption","","B,D"
"What happens to the objects in a reader account when the DROP MANAGED ACCOUNT command is executed?","A. The objects are dropped.","B. The objects enter the Fail-safe period.","C. The objects enter the Time Travel period.","D. The objects are immediately moved to the provider account.","","","A"
"What function can be used with the recursive argument to return a list of distinct key names in all nested elements in an object?","A. FLATTEN","B. GET_PATH","C. CHECK_JSON","D. PARSE_JSON","","","A"
"What does Snowflake recommend when planning virtual warehouse usage for a data load?","A. Load the fewest possible number of large files.","B. Dedicate a separate warehouse for loading data.","C. Increase the size of the warehouse used.","D. Use several single-cluster warehouses.","","","B"
"Which Snowflake database object can be used to track data changes made to table data?","A. Tag","B. Task","C. Stream","D. Stored procedure","","","C"
"Who can activate and enforce a network policy for all users in a Snowflake account? (Choose two.)","A. A user with an USERADMIN or higher role","B. A user with a SECURITYADMIN or higher role","C. A role that has been granted the ATTACH POLICY privilege","D. A role that has the NETWORK_POLICY account parameter set","E. A role that has the OWNERSHIP of the network policy","","B,C"
"How can a data provider share their Snowflake data? (Choose two.)","A. External table","B. Snowpark API","C. Direct share","D. External function","E. Snowflake Marketplace listing","","C,E"
"What will prevent unauthorized access to a Snowflake account from an unknown source?","A. Network policy","B. End-to-end encryption","C. Multi-Factor Authentication (MFA)","D. Role-Based Access Control (RBAC)","","","A"
"Which query type is supported for implementing the search optimization service?","A. Queries with column concatenation","B. Substring search queries on external tables","C. String searches on columns using the COLLATE function","D. Geography value column searches using geospatial functions  ","","","D"
"What Snowflake feature provides a data hub for secure data collaboration, with a selected group of invited members?","A. Data Replication","B. Secure Data Sharing","C. Data Exchange","D. Snowflake Marketplace","","","C"
"Which semi-structured data function interprets an input string as a JSON document that produces a VARIANT value?","A. PARSE_JSON","B. CHECK_JSON","C. JSON_EXTRACT_PATH_TEXT","D. PARSE_XML","","","A"
"Which Snowflake data types can be used to build nested hierarchical data? (Choose two.)","A. INTEGER","B. OBJECT","C. VARIANT","D. VARCHAR","E. LIST","","B,C"
"Which statistics can be used to identify queries that have inefficient pruning? (Choose two.)","A. Bytes scanned","B. Bytes written to result","C. Partitions scanned","D. Partitions total","E. Percentage scanned from cache","","C,D"
"Which element in the Query Profile interface shows the relationship between the nodes in the execution of a query?","A. Node List","B. Steps","C. Overview","D. Operator Tree","","","D"
"What will happen if a Snowflake user suspends the updates to a materialized view?","A. The queries on that view will generate an error message.  ","B. The queries on that view will return the last stored data.","C. The queries on that view will return the data using Time Travel.","D. The queries on that view will return the data with a warning message.","","","A"
"Which Snowflake function will parse a JSON-null into a SQL-null?","A. TO_CHAR","B. TO_VARIANT","C. TO_VARCHAR","D. STRIP_NULL_VALUE  ","","","D"
"Which Snowflake command can be used to unload the result of a query to a single file?","A. Use COPY INTO followed by a GET command to download the file.","B. Use COPY INTO followed by a PUT command to download the file.","C. Use COPY INTO with SINGLE = TRUE followed by a GET command to download the file.","D. Use COPY INTO with SINGLE = TRUE followed by a PUT command to download the file.","","","C"
"How are micro-partitions enabled on Snowflake tables?","A. Micro-partitioning requires a cluster key on a table.","B. Micro-partitioning is automatically performed on a table.","C. Micro-partitioning requires the use of the search optimization service.","D. Micro-partitioning is defined by the user when a table is created.","","","B"
"What persistent data structures are used by the search optimization service to improve the performance of point lookups?","A. Micro-partitions","B. Clustering keys","C. Equality searches","D. Search access paths  ","","","D"
"Which Snowflake feature provides increased login security for users connecting to Snowflake that is powered by Duo Security service?","A. OAuth","B. Network policies","C. Single Sign-On (SSO)","D. Multi-Factor Authentication (MFA)","","","D"
"A user with which privileges can create or manage other users in a Snowflake account? (Choose two.)","A. GRANT","B. SELECT","C. MODIFY","D. OWNERSHIP  ","E. CREATE USER  ","","D,E"
"Which items are considered schema objects in Snowflake? (Choose two.)","A. Pipe","B. File format","C. Resource monitor","D. Storage integration","E. Virtual warehouse","","A,B"
"What does SnowCD help Snowflake users to do?","A. Copy data into files.","B. Manage different databases and schemas.","C. Troubleshoot network connections to Snowflake.","D. Write SELECT queries to retrieve data from external tables.","","","C"
"Awarding a user which privileges on all virtual warehouses is equivalent to granting the user the global MANAGE WAREHOUSES privilege?","A. MODIFY, MONITOR and OPERATE privileges","B. OWNERSHIP and USAGE privileges","C. APPLYBUDGET and AUDIT privileges","D. MANAGE LISTING AUTOFULFILLMENT and RESOLVE ALL privileges","","","B"
"A Snowflake account has activated federated authentication.What will occur when a user with a password that was defined by Snowflake attempts to log in to Snowflake?","A. The user will be unable to enter a password.","B. The user will encounter an error, and will not be able to log in.","C. The user will be able to log into Snowflake successfully.","D. After entering the username and password, the user will be redirected to an Identity Provider (IdP) login page.  ","","","C"
"Which solution improves the performance of point lookup queries that return a small number of rows from large tables using highly selective filters?","A. Automatic clustering","B. Materialized views","C. Query acceleration service","D. Search optimization service","","","D"
"What does a Notify & Suspend action for a resource monitor do?","A. Send an alert notification to all account users who have notifications enabled.","B. Send an alert notification to all virtual warehouse users when thresholds over 100% have been met.","C. Send a notification to all account administrators who have notifications enabled, and suspend all assigned warehouses after all statements being executed by the warehouses have completed.","D. Send a notification to all account administrators who have notifications enabled, and suspend all assigned warehouses immediately, canceling any statements being executed by the warehouses.","","","C"
"When working with a managed access schema, who has the OWNERSHIP privilege of any tables added to the schema?","A. The database owner","B. The object owner","C. The schema owner","D. The Snowflake user's role","","","C"
"How can a Snowsight user change a Standard virtual warehouse to a Snowpark-optimized virtual warehouse?","A. Use the ALTER WAREHOUSE command on an active Standard virtual warehouse.","B. Use the ALTER WAREHOUSE command on an active Snowpark-optimized warehouse.","C. Use the ALTER WAREHOUSE command on a suspended Standard virtual warehouse.","D. Use the ALTER WAREHOUSE command on a suspended Snowpark-optimized warehouse.","","","C"
"According to best practices, which table type should be used if the data can be recreated outside of Snowflake?","A. Permanent table","B. Temporary table","C. Transient table","D. Volatile table","","","C"
"Which function unloads data from a relational table to JSON?","A. TO_OBJECT","B. TO_JSON","C. TO_VARIANT","D. OBJECT_CONSTRUCT","","","D"
"What is the purpose of the STRIP_NULL_VALUES file format option when loading semi-structured data files into Snowflake?","A. It removes null values from all columns in the data.","B. It converts null values to empty strings during loading.","C. It skips rows with null values during the loading process.","D. It removes object or array elements containing null values.","","","D"
"Which Snowflake edition enables data sharing only through Snowflake Support?","A. Virtual Private Snowflake","B. Business Critical","C. Enterprise","D. Standard","","","A"
"What is the primary purpose of partitioning staged data files for regular data loads?","A. To improve the performance of data loads","B. To compress the data for efficient storage","C. To encrypt the data for enhanced security","D. To organize the data into subfolders for easy browsing","","","A"
"What is the minimum Snowflake Edition that supports secure storage of Protected Health Information (PHI) data?","A. Standard Edition","B. Enterprise Edition","C. Business Critical Edition  ","D. Virtual Private Snowflake Edition","","","C"
"What can a Snowflake user do to reduce queuing on a multi-cluster virtual warehouse?","A. Increase the warehouse size.","B. Use an economy scaling policy.","C. Increase the maximum number of clusters.","D. Convert the warehouse to a Snowpark-optimized warehouse.","","","C"
"Which statements describe benefits of Snowflake's separation of compute and storage? (Choose two.)","A. The separation allows independent scaling of computing resources.","B. The separation ensures consistent data encryption across all virtual data warehouses.","C. The separation supports automatic conversion of semi-structured data into structured data for advanced data analysis.","D. Storage volume growth and compute usage growth can be tightly coupled.","E. Compute can be scaled up or down without the requirement to add more storage.","","A,E"
"What should be used to show the status of partial data loads and loading errors?","A. The COPY_HISTORY function  ","B. The QUERY_HISTORY function","C. The ACCESS_HISTORY view","D. The WAREHOUSE_LOAD_HISTORY function","","","A"
"What transformations are supported when loading data into a table using the COPY INTO [table] command? (Choose two.)","A. Column reordering","B. Column omission","C. JOIN function","D. FLATTEN function","E. GROUP BY function","","A,B"
"Which object can be used with Secure Data Sharing?","A. View","B. Materialized view","C. External table","D. User-Defined Function (UDF)","","","C"
"Which parameter can be set at the account level to set the minimum number of days for which Snowflake retains historical data in Time Travel?","A. DATA_RETENTION_TIME_IN_DAYS","B. MAX_DATA_EXTENSION_TIME_IN_DAYS","C. MIN_DATA_RETENTION_TIME_IN_DAYS","D. MAX_CONCURRENCY_LEVEL","","","C"
"Which commands are restricted in owner's rights stored procedures? (Choose two.)","A. SHOW","B. MERGE","C. INSERT","D. DELETE","E. DESCRIBE","","A,E"
"What is the relationship between a Query Profile and a virtual warehouse?","A. A Query Profile can help users right-size virtual warehouses.","B. A Query Profile defines the hardware specifications of the virtual warehouse.","C. A Query Profile can help determine the number of virtual warehouses available.","D. A Query Profile automatically scales the virtual warehouse based on the query complexity.","","","A"
"Which transformation is supported by a COPY INTO [table] command?","A. Filter using a WHERE clause","B. Filter using a LIMIT keyword","C. Cast using a SELECT statement","D. Order using an ORDER BY Clause","","","C"
"How can a Snowflake administrator determine which user has accessed a database object that contains sensitive information?","A. Review the granted privileges to the database object.","B. Review the row access policy for the database object.","C. Query the ACCESS_HISTORY view in the ACCOUNT_USAGE schema.","D. Query the REPLICATION_USAGE_HISTORY view in the ORGANIZATION_USAGE schema.","","","C"
"How does conditional data masking work in Snowflake?","A. It selectively masks plain text data.","B. It selectively masks multiple columns.","C. It masks all values in a given column.","D. It selectively masks a column value based on another column.","","","A"
"If a virtual warehouse runs for 61 seconds, shuts down, and then restarts and runs for 30 seconds, for how many seconds is it billed?","A. 60","B. 91","C. 120","D. 121","","","D"
"What function, combined with the copy command, should be used to unload data from a relational table into a JSON file?","A. LATERAL","B. CAST","C. FLATTEN","D. OBJECT_CONSTRUCT","","","D"
"What is the primary purpose of a directory table in Snowflake?","A. To store actual data from external stages","B. To automatically expire file URLs for security","C. To manage user privileges and access control","D. To store file-level metadata about data files in a stage","","","D"
"Which Snowflake table objects can be shared with other accounts? (Choose two.)","A. Temporary tables","B. Permanent tables","C. Transient tables","D. External tables","E. User-Defined Table Functions (UDTFs)","","B,D"
"Which metadata table will store the storage utilization information even for dropped tables?","A. DATABASE_STORAGE_USAGE_HISTORY","B. TABLE_STORAGE_METRICS  ","C. STORAGE_DAILY_HISTORY","D. STAGE_STORAGE_USAGE_HISTORY","","","B"
"How is role hierarchy established in Snowflake?","A. By assigning users to roles","B. By default when a role is created","C. By granting one role to another role","D. By transferring ownership of one role to another role","","","C"
"What commands can be used to see what files are stored in a stage? (Choose two.)","A. LIST  ","B. SELECT","C. LS  ","D. GET","E. DESCRIBE","","A,C"
"Which stages are created by default, with no need to use the CREATE STAGE command? (Choose two.)","A. External stage","B. Internal stage","C. Named stage","D. Table stage","E. User stage","","D,E"
"While working with unstructured data, which file function generates a Snowflake-hosted file URL to a staged file using the stage name and relative file path as inputs?","A. BUILD_STAGE_FILE_URL","B. GET_ABSOLUTE_PATH","C. BUILD_SCOPED_FILE_URL","D. GET_PRESIGNED_URL","","","A"
"Who can create and manage reader accounts? (Choose two.)","A. A user with ACCOUNTADMIN role  ","B. A user with SECURITYADMIN role","C. A user with SYSADMIN role","D. A user with ORGADMIN role","E. A user with CREATE ACCOUNT privilege  ","","A,E"
"Which command allows for continuous loading of data files as soon as they are available in a stage?","A. COPY INTO [table]","B. PUT","C. CREATE PIPE","D. GET","","","C"
"What is an advantage of using database roles instead of granting privileges on objects directly to a share in Snowflake?","A. Easier management of cross-region data sharing","B. Greater flexibility in including objects from multiple databases","C. More control over object-level access for different user groups","D. Reduction in the number of shares required for different objects in the same database","","","C"
"What is the order of precedence (highest to lowest) of network policies when applied at the account, user, and security integrations layers?","A. Account, user, security integration","B. Account, security integration, user","C. User, security integration, account  ","D. User, account, security integration","","","B"
"Which type of Snowflake virtual warehouse provides 16 times the memory for each node, and is recommended for larger workloads like Machine Learning (ML) training?","A. A size 6XL warehouse","B. A standard warehouse","C. A multi-cluster warehouse","D. A Snowpark-optimized warehouse","","","D"
"Which common query issues can be identified by the Query Profile? (Choose two.)","A. Insufficient credit quota","B. Inefficient query pruning","C. Excessive query pruning","D. Exploding joins","E. Credit usage that exceeds a set threshold","","B,D"
"In Snowflake, what allows users to perform recursive queries?","A. QUALIFY","B. LATERAL","C. PIVOT","D. CONNECT BY","","","D"
"A user wants to create objects within a schema but wants to restrict other users’ ability to grant privileges on these objects.What configuration should be used to create the schema?","A. Use a regular (non-managed) schema.","B. Use a managed access schema.","C. Use a transient schema.","D. Set the Default_DDL_Collation parameter.","","","B"
"What is the MOST cost-effective way to resolve memory spillage in a virtual warehouse?","A. Enable automatic clustering.","B. Enable the query acceleration service.","C. Enable the search optimization service.","D. Convert to a Snowpark-optimized warehouse.  ","","","D"
"What objects in Snowflake are supported by Dynamic Data Masking? (Choose two.)","A. Views  ","B. Materialized views","C. Tables  ","D. External tables","E. Future grants","","A,C"
"A user has created a dashboard in Snowflake and wants to share it with colleagues.How can the dashboard be shared?","A. By creating a private Data Exchange","B. By using the share option within Snowsight","C. By using a Direct Share with another account","D. By creating a listing on Snowflake Marketplace","","","B"
"When would Snowsight automatically detect if a target account is in a different region and enable cross-cloud auto-fulfillment?","A. When using a paid listing on the Snowflake Marktetplace","B. When using a private listing on the Snowflake Marketplace  ","C. When using a personalized listing on the Snowflake Marketplace","D. When using a Direct Share with another account","","","B"
"Which languages require that User-Defined Function (UDF) handlers be written inline? (Choose two.)","A. Java","B. Javascript  ","C. Scala","D. Python","E. SQL  ","","B,E"
"Which task privilege does a Snowflake role need in order to suspend or resume a task?","A. USAGE","B. OPERATE","C. MONITOR","D. OWNERSHIP","","","B"
"What is a directory table in Snowflake?","A. A separate database object that is used to store file-level metadata.","B. An object layered on a stage that is used to store file-level metadata.","C. A database object with grantable privileges for unstructured data tasks.","D. A Snowflake table specifically designed for storing unstructured files.","","","B"
"What factors impact storage costs in Snowflake? (Choose two.)","A. The account type  ","B. The storage file format","C. The cloud region used by the account  ","D. The type of data being stored","E. The cloud platform being used","","A,C"
"Which ACCOUNT_USAGE schema database role provides visibility into policy-related information?","A. USAGE_VIEWER","B. GOVERNANCE_VIEWER  ","C. OBJECT_VIEWER","D. SECURITY_VIEWER","","","B"
"How should clustering be used to optimize the performance of queries that run on a very large table?","A. Manually re-cluster the table regularly.","B. Choose one high cardinality column as the clustering key.","C. Use the column that is most-frequently used in query select clauses as the clustering key.  ","D. Assess the average table depth to identify how clustering is impacting the query.","","","C"
"Which privilege must be granted by one role to another role, and cannot be revoked?","A. MONITOR","B. OPERATE","C. OWNERSHIP","D. ALL","","","C"
"How can performance be optimized for a query that returns a small amount of data from a very large base table?","A. Use clustering keys","B. Create materialized views","C. Use the search optimization service  ","D. Use the query acceleration service","","","C"
"A column named “Data” contains VARIANT data and stores values as follows:How will Snowflake extract the employee’s name from the column data?","A. Data:employee.name","B. DATA:employee.name","C. data:Employee.name  ","D. data:employee.name","","","C"
"Use of which Snowflake function is recommended when unloading data from a relational table into a JSON file?","A. TO_JSON","B. TO_VARIANT","C. OBJECT_INSERT","D. OBJECT_CONSTRUCT","","","D"
"Which command should be used to generate a single file when unloading data from a Snowflake table into a file?","A. PARTITION BY","B. MAX_FILE_SIZE = 0","C. SINGLE = TRUE","D. OVERWRITE = TRUE","","","C"
"Which function can be used to convert semi-structured data into rows and columns?","A. TABLE","B. FLATTEN","C. PARSE_JSON","D. JSON_EXTRACT_PATH_TEXT","","","B"
"What user setting can be configured to disable Multi-Factor Authentication (MFA) for a Snowflake user? (Choose two.)","A. DISABLE_MFA  ","B. MINS_TO_BYPASS_MFA  ","C. PASSWORD","D. MINS_TO_UNLOCK","E. MUST_CHANGE_PASSWORD","","A,B"
"Which table type has a Fail-safe period of 7 days?","A. Temporary table","B. Transient table","C. Permanent table","D. External table","","","C"
"How does Snowflake enable OAuth?","A. By creating an external integration","B. By configuring a security integration","C. By establishing IP allowed lists and IP blocked lists","D. By using SnowSQL to enable an external OAuth using the Snowflake protocol","","","B"
"Which type of workload traditionally benefits from the use of the query acceleration service?","A. Workloads with a predictable data volume for each query","B. Workloads that include on-demand data analyses","C. Queries with small scans and non-selective filters","D. Queries that do not have filters or aggregation","","","B"
"Which Snowflake object is supported by both database replication and replication groups?","A. Pipes","B. Users","C. Stages","D. Materialized views","","","D"
"When unloading data, which combination of parameters should be used to differentiate between empty strings and NULL values? (Choose two.)","A. ESCAPE_UNENCLOSED_FIELD","B. REPLACE_INVALID_CHARACTERS","C. FIELD_OPTIONALLY_ENCLOSED_BY","D. EMPTY_FIELD_AS_NULL","E. SKIP_BLANK_LINES","","C,D"
"Which role must be used to create resource monitors?","A. SECURITYADMIN","B. ACCOUNTADMIN","C. SYSADMIN","D. ORGADMIN","","","B"
